movie,certificate_G,certificate_Missing,certificate_Not Rated,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA,certificate_TV-PG,certificate_Unrated,duration,rate,metascore,votes,gross,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_won,BAFTA_nominated,Screen_Actors_Guild_won,Screen_Actors_Guild_nominated,Critics_Choice_won,Critics_Choice_nominated,Directors_Guild_won,Directors_Guild_nominated,Producers_Guild_won,Producers_Guild_nominated,Art_Directors_Guild_won,Art_Directors_Guild_nominated,Writers_Guild_won,Writers_Guild_nominated,Costume_Designers_Guild_won,Costume_Designers_Guild_nominated,Online_Film_Television_Association_won,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_won,Online_Film_Critics_Society_nominated,People_Choice_won,People_Choice_nominated,London_Critics_Circle_Film_won,London_Critics_Circle_Film_nominated,American_Cinema_Editors_won,American_Cinema_Editors_nominated,Hollywood_Film_won,Hollywood_Film_nominated,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_nominated,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_nominated,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_nominated,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_nominated,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_nominated,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_Best_Picture_won
Kate & Leopold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13117772364788055,-0.8105627678967272,-1.187427567016785,-0.6311709294565615,-0.38037349703619916,-0.43297163093617386,-0.9608678664688806,1.0652443025060454,-0.4172534681212305,-0.20973851625848774,0.740630616250191,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.30561859486207005,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3975906959953377,-0.0807608287364614,1.4034300158853,-0.22256800448217293,0.19036806864915284,-0.35855804229695,-0.5441817508782315,1.5488660667911758,0.004143287942792612,-0.6407319731290907,0.07589310820586982,-0.3401229940115147,0.2464521145169149,-0.24882644365339338,-0.46702482651712074,0.7611417456018966,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,0.37784787578345225,-0.02808994438070501,0.9500037711473192,0.032179417969717794,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,0.8803384382279993,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,1.6531891470870437,0.8318262489865489,1.4153145049336895,0.7420362622037479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Four,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4083876009320788,-1.6619988582273229,-1.4229600745533384,0.4533767018868189,0.6484720795720078,0.7611068844374181,0.08426288247159981,0.590397933137379,-0.6580516144435294,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frida,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3559966088895303,0.40577400009317555,-0.18641440998643413,-0.6459156061040984,-0.5842302599849629,-0.5125768652944133,-0.954036946541165,1.2066256650490774,0.06434282452336734,1.9452287680945273,0.740630616250191,0.8170447679835834,0.9906290373247141,-0.24882644365339338,1.854003989372795,-0.36867803302591867,0.2189553999252067,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,2.2681002197797993,-0.34675169967083896,-0.30561859486207005,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8290043465476775,2.108645584749352,1.638962523421853,5.772970384462849,2.1701308626708005,7.8044395765686065,0.20721944117047986,-1.039875433565722,3.3753173364549776,4.962182966188749,2.070105632338833,5.445715815963976,4.71151365136371,2.6231423218787637,1.854003989372795,3.020781302857527,1.4670011794988846,-0.13152257528233016,3.1670032130225585,-0.18295574149853927,2.1734873938096735,-0.2012598041070047,1.9801584190105348,-0.17597944920684494,2.3529716794685975,-0.18993110725564605,-0.44089762492818146,9.073042781234948,5.522483065246595,0.9500037711473192,3.741393662612521,4.759085420295001,3.53129642658736,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,2.215646837627989,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,0.7227340775922451,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,0.7498888983087221,-0.2875794809096283,-0.37110749515676245,1.4153145049336895,1.8582540256892883,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Mission: Impossible II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3559966088895303,-1.1754640415610513,-0.3041806637547107,0.33147582283675875,1.2288710247403922,1.4931289308186202,-0.21629759434788473,0.8604850877885507,-0.5376525412823799,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,0.7611417456018966,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.30561859486207005,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Evil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6781702632220585,-0.44566209023741904,-1.8351419627423065,0.09285675556680895,-0.4527560343496204,0.9981920389391313,-0.27777587369732476,-0.8926438077450473,-0.6580516144435294,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.5831472453434351,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.49831515502873874,0.40577400009317555,-0.009765029334019234,1.4780897212648565,0.6733326604194181,1.4498652164934902,0.15940300167647095,-0.6001306438629119,-0.47745300470180524,-0.6407319731290907,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.6130751197905786,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,2.2681002197797993,-0.34675169967083896,-0.02808994438070501,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Emperor's New Groove,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6673733582853174,0.28414043276449624,0.34353373197081055,-0.2787216982388537,0.023132853640997264,-0.46758260239627797,-0.8515731476254316,0.0599740626311069,-0.2366548583795063,-0.20973851625848774,0.07589310820586982,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,0.7611417456018966,0.2189553999252067,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,-0.4199975640211929,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,0.37784787578345225,0.526967356582025,-0.2876066269190724,-0.49770833126496833,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,-0.37110749515676245,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corpse Bride,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.7123371353336474,0.40577400009317555,1.1090143814646083,0.05640988925250925,-0.32070810300241465,-0.1578144078283461,0.002291843339013114,0.7327543395600182,-0.3570539315406558,-0.20973851625848774,-0.5888443998384513,-0.3401229940115147,-0.4977248082908843,-0.24882644365339338,-0.46702482651712074,-0.36867803302591867,-0.19705985993268596,-0.13152257528233016,-0.29734485436704267,-0.18295574149853927,2.1734873938096735,-0.2012598041070047,-0.4900392047046273,-0.17597944920684494,-0.40406819163549923,-0.18993110725564605,-0.44089762492818146,-0.34675169967083896,-0.30561859486207005,-0.2876066269190724,0.032179417969717794,-0.18619896680161344,-0.3475809112442939,-0.2874229588640674,-0.4660615261207055,-0.19890271381328503,-0.4513354669242201,-0.3673472936746696,-0.3670629935962937,-0.2478849282121688,-0.3285928786226226,-0.24684093636354254,-0.37326148506948903,-0.2851065086318224,-0.3618911610085309,-0.2875794809096283,0.8318262489865489,-0.32044856715479764,-0.3741815012817925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
